date,hour,time,purchase bid,sell bid,mcv,fsv,mcp,Weighted MCP (Rs/MWh),,
11-11-2021,6,05:00 - 05:15,6087.3,9996.1,4882.2,4882.2,2800.96,2800.96,,
11-11-2021,6,05:15 - 05:30,6465.8,9654.9,5146.4,5146.4,3000.23,3000.23,,
11-11-2021,6,05:30 - 05:45,6948.7,9806.6,5379.8,5379.8,3010.28,3010.28,,
11-11-2021,6,05:45 - 06:00,6931.2,9880.4,5458.5,5458.5,2980.68,2980.68,,
11-11-2021,7,06:00 - 06:15,7597.4,10441,6360.4,6360.4,3199.77,3199.77,,
11-11-2021,7,06:15 - 06:30,8662,10866.5,7104,7104,3630.14,3630.14,,
11-11-2021,7,06:30 - 06:45,9571.1,11076.3,7628.94,7628.94,3650.6,3650.6,,
11-11-2021,7,06:45 - 07:00,10134.3,11146.8,7871.2,7871.2,3660.54,3660.54,,
11-11-2021,8,07:00 - 07:15,10576.9,10765.4,8052.5,8052.5,3855.16,3855.16,,
11-11-2021,8,07:15 - 07:30,10990.2,10310.8,8095.1,8095.1,4540.15,4540.15,,
11-11-2021,8,07:30 - 07:45,10665.5,10253.6,7987.9,7987.9,4170.23,4170.23,,
11-11-2021,8,07:45 - 08:00,10664.9,10343.5,8077.8,8077.8,4170.68,4170.68,,
11-11-2021,9,08:00 - 08:15,10463.1,10208,8064.2,8064.2,4051.62,4051.62,,
11-11-2021,9,08:15 - 08:30,10253.3,10144,8046.2,8046.2,4000.61,4000.61,,
11-11-2021,9,08:30 - 08:45,10686.1,10432.2,8062.5,8062.5,4200.43,4200.43,,
11-11-2021,9,08:45 - 09:00,10586.5,10582.6,7912.9,7912.9,4209.75,4209.75,,
11-11-2021,10,09:00 - 09:15,10418.1,10151.3,7801,7801,4151.27,4151.27,,
11-11-2021,10,09:15 - 09:30,10127.2,10350.4,7722.2,7722.2,4000.4,4000.4,,
11-11-2021,10,09:30 - 09:45,10270.8,10555.3,7689.6,7689.6,3999.98,3999.98,,
11-11-2021,10,09:45 - 10:00,10474.5,10721.5,7718.4,7718.4,4060.43,4060.43,,
11-11-2021,11,10:00 - 10:15,9626.5,10389.9,6872.35,6872.35,3500.89,3500.89,,
11-11-2021,11,10:15 - 10:30,9303.8,10205.4,6625.57,6625.57,3609.44,3609.44,,
11-11-2021,11,10:30 - 10:45,9030,10130.5,6340.42,6340.42,3550.55,3550.55,,
11-11-2021,11,10:45 - 11:00,8937.7,10074.5,6251,6251,3543.78,3543.78,,
11-11-2021,12,11:00 - 11:15,8387.1,10469.4,6078.2,6078.2,3289.86,3289.86,,
11-11-2021,12,11:15 - 11:30,8200.9,10917.7,6057.4,6057.4,3199.93,3199.93,,
11-11-2021,12,11:30 - 11:45,7934.9,10988,5755.5,5755.5,3109.62,3109.62,,
11-11-2021,12,11:45 - 12:00,7479.2,10881.7,5546.14,5546.14,3009.51,3009.51,,
11-11-2021,13,12:00 - 12:15,7174,11003.2,5596.09,5596.09,3000.41,3000.41,,
11-11-2021,13,12:15 - 12:30,6897.4,10885.7,5520,5520,2807.15,2807.15,,
11-11-2021,13,12:30 - 12:45,6641.4,11260.7,5393,5393,2749.6,2749.6,,
11-11-2021,13,12:45 - 13:00,6508.3,11171.8,5382.9,5382.9,2700.8,2700.8,,
11-11-2021,14,13:00 - 13:15,6058.2,11367.9,5109.3,5109.3,2430.12,2430.12,,
11-11-2021,14,13:15 - 13:30,5994.8,11422.7,5045.9,5045.9,2409.52,2409.52,,
11-11-2021,14,13:30 - 13:45,5804.4,11534.8,4867.1,4867.1,2306.56,2306.56,,
11-11-2021,14,13:45 - 14:00,5677.3,11407.2,4859.8,4859.8,2188.26,2188.26,,
