Date,Hour,Time Block,Purchase Bid (MW),Sell Bid (MW),MCV (MW),Final Scheduled Volume (MW),MCP (Rs/MWh) *,Weighted MCP (Rs/MWh)
18-02-2021,21,20:30 - 20:45,6791.8,12108.5,6122.6,6122.6,3036.98,3036.98
18-02-2021,21,20:45 - 21:00,6611.9,12781.7,6009.5,6009.5,2749.95,2749.95
18-02-2021,22,21:00 - 21:15,6493.3,13270.3,5669.1,5669.1,2666.47,2666.47
18-02-2021,22,21:15 - 21:30,6313,13479.2,5488.8,5488.8,2666.06,2666.06
18-02-2021,22,21:30 - 21:45,6187.7,14204.2,5363.5,5363.5,2666.29,2666.29
18-02-2021,22,21:45 - 22:00,6075.3,14814.2,5291.1,5291.1,2649.93,2649.93
18-02-2021,23,22:00 - 22:15,5796.6,15358.7,4364.4,4364.4,2450.05,2450.05
18-02-2021,23,22:15 - 22:30,5788.6,15330.2,4276.4,4276.4,2541.45,2541.45
18-02-2021,23,22:30 - 22:45,6094.4,16106.1,4570.7,4570.7,2630.46,2630.46
18-02-2021,23,22:45 - 23:00,6210.1,16552.1,4688.6,4688.6,2630.29,2630.29
18-02-2021,24,23:00 - 23:15,6413.1,17928.3,4899.9,4899.9,2574.08,2574.08
18-02-2021,24,23:15 - 23:30,6655.7,17575.9,5155.5,5155.5,2537.79,2537.79
18-02-2021,24,23:30 - 23:45,6656.2,17583.4,5187.53,5187.53,2510.55,2510.55
18-02-2021,24,23:45 - 24:00,6645.3,17356.9,5211.82,5211.82,2510.05,2510.05
19-02-2021,1,00:00 - 00:15,5855.2,14758.8,4601.2,4601.2,2510.92,2510.92
19-02-2021,1,00:15 - 00:30,5928.9,15965.3,4674.8,4674.8,2510.55,2510.55
19-02-2021,1,00:30 - 00:45,5877.4,17059.7,4697.1,4697.1,2486,2486
19-02-2021,1,00:45 - 01:00,5847.9,17890.7,4698.1,4698.1,2335.35,2335.35
