Date ,Hour,          Time ,Purchase Bid (MW),Sell Bid (MW),MCV (MW),Final Scheduled Volume (MW),MCP (Rs/MWh) ,Weighted MCP (Rs/MWh)
21-11-2021,7,06:15 - 06:30,6551.60,10195.40,5826.40,5826.40,2774.92,2774.92
21-11-2021,7,06:30 - 06:45,6948.20,10093.70,6077.60,6077.60,2802.57,2802.57
21-11-2021,7,06:45 - 07:00,7423.80,10348.40,6353.60,6353.60,3020.10,3020.10
21-11-2021,8,07:00 - 07:15,7828.00,10098.50,6636.50,6636.50,3043.16,3043.16
21-11-2021,8,07:15 - 07:30,8120.90,10056.10,6870.20,6870.20,3150.41,3150.41
21-11-2021,8,07:30 - 07:45,8492.10,9961.40,7109.10,7109.10,3359.28,3359.28
21-11-2021,8,07:45 - 08:00,8614.90,10124.00,7278.58,7278.58,3400.95,3400.95
21-11-2021,9,08:00 - 08:15,7914.10,10447.40,6969.60,6969.60,3043.22,3043.22
21-11-2021,9,08:15 - 08:30,8062.80,10513.20,7110.40,7110.40,3199.29,3199.29
21-11-2021,9,08:30 - 08:45,7822.90,10774.20,7105.00,7105.00,3043.76,3043.76
21-11-2021,9,08:45 - 09:00,7488.90,10943.90,6853.80,6853.80,2987.54,2987.54
21-11-2021,10,09:00 - 09:15,8066.80,10422.10,6945.60,6945.60,3289.69,3289.69
21-11-2021,10,09:15 - 09:30,8115.00,10837.70,7031.65,7031.65,3199.86,3199.86
21-11-2021,10,09:30 - 09:45,8335.70,11241.80,7154.62,7154.62,3199.07,3199.07
21-11-2021,10,09:45 - 10:00,8073.50,11309.70,7054.40,7054.40,3043.62,3043.62
21-11-2021,11,10:00 - 10:15,7226.90,11610.10,6565.90,6565.90,2800.48,2800.48
21-11-2021,11,10:15 - 10:30,6984.20,11629.80,6465.20,6465.20,2695.78,2695.78
21-11-2021,11,10:30 - 10:45,6688.70,11719.30,6223.90,6223.90,2579.36,2579.36
21-11-2021,11,10:45 - 11:00,6621.40,11812.90,6163.30,6163.30,2555.77,2555.77
21-11-2021,12,11:00 - 11:15,6648.60,12039.60,6219.30,6219.30,2555.36,2555.36
21-11-2021,12,11:15 - 11:30,6660.00,12736.10,6417.20,6417.20,2257.93,2257.93
21-11-2021,12,11:30 - 11:45,6446.40,12844.50,6219.90,6219.90,2187.79,2187.79
21-11-2021,12,11:45 - 12:00,6723.50,12798.50,6359.80,6359.80,2409.10,2409.10
21-11-2021,13,12:00 - 12:15,6803.40,13719.50,6578.90,6578.90,2187.74,2187.74
21-11-2021,13,12:15 - 12:30,6587.90,13707.80,6363.40,6363.40,2187.32,2187.32
21-11-2021,13,12:30 - 12:45,6460.60,13804.30,6158.60,6158.60,1999.83,1999.83
21-11-2021,13,12:45 - 13:00,6286.30,13867.10,5984.30,5984.30,1999.72,1999.72
21-11-2021,14,13:00 - 13:15,5769.80,14330.30,5467.80,5467.80,1979.15,1979.15
21-11-2021,14,13:15 - 13:30,5837.00,14452.00,5535.00,5535.00,1979.62,1979.62
21-11-2021,14,13:30 - 13:45,6172.00,14626.40,5926.00,5926.00,1999.16,1999.16
21-11-2021,14,13:45 - 14:00,6152.10,14590.60,5906.10,5906.10,1999.12,1999.12
21-11-2021,15,14:00 - 14:15,6082.30,14319.40,5852.50,5852.50,1999.09,1999.09
21-11-2021,15,14:15 - 14:30,6332.10,14157.20,6102.30,6102.30,1999.36,1999.36
21-11-2021,15,14:30 - 14:45,6222.20,13657.80,5992.40,5992.40,1999.44,1999.44
21-11-2021,15,14:45 - 15:00,6333.00,13311.70,6103.20,6103.20,1999.79,1999.79
21-11-2021,16,15:00 - 15:15,6232.20,12534.90,6102.30,6102.30,2187.56,2187.56
21-11-2021,16,15:15 - 15:30,6460.60,11992.20,6227.00,6227.00,2555.16,2555.16
21-11-2021,16,15:30 - 15:45,6675.60,11323.10,6281.30,6281.30,2799.11,2799.11
21-11-2021,16,15:45 - 16:00,6954.80,10759.70,6305.50,6305.50,2900.48,2900.48
21-11-2021,17,16:00 - 16:15,6899.50,10177.00,5882.58,5882.58,3000.47,3000.47
21-11-2021,17,16:15 - 16:30,6809.70,9959.00,5824.70,5824.70,3000.21,3000.21
21-11-2021,17,16:30 - 16:45,7398.30,9682.80,6021.90,6021.90,3294.00,3294.00
21-11-2021,17,16:45 - 17:00,7625.80,9454.60,6082.49,6082.49,3500.46,3500.46
21-11-2021,18,17:00 - 17:15,7645.20,9086.00,5902.70,5902.70,3589.52,3589.52
21-11-2021,18,17:15 - 17:30,8399.20,9316.10,6661.80,6661.80,3679.90,3679.90
21-11-2021,18,17:30 - 17:45,8703.80,9215.00,6758.80,6758.80,3861.43,3861.43
21-11-2021,18,17:45 - 18:00,9111.60,9189.30,6833.10,6833.10,3867.44,3867.44
21-11-2021,19,18:00 - 18:15,9159.70,9303.50,7162.30,7162.30,4078.19,4078.19
21-11-2021,19,18:15 - 18:30,9474.40,9208.10,7167.10,7167.10,4200.73,4200.73
21-11-2021,19,18:30 - 18:45,9360.60,9341.20,7235.20,7235.20,4000.36,4000.36
21-11-2021,19,18:45 - 19:00,8945.90,9770.20,7414.60,7414.60,3849.92,3849.92
21-11-2021,20,19:00 - 19:15,8105.50,9713.30,6931.10,6931.10,3679.60,3679.60
21-11-2021,20,19:15 - 19:30,7512.10,9645.40,6550.16,6550.16,3500.91,3500.91
21-11-2021,20,19:30 - 19:45,6743.40,9381.40,6245.70,6245.70,3359.68,3359.68
21-11-2021,20,19:45 - 20:00,6115.50,9023.60,5683.70,5683.70,3043.70,3043.70
21-11-2021,21,20:00 - 20:15,5802.40,9056.30,5416.30,5416.30,3029.73,3029.73
21-11-2021,21,20:15 - 20:30,5786.00,9098.90,5399.90,5399.90,3029.76,3029.76
21-11-2021,21,20:30 - 20:45,5648.30,9317.00,5265.80,5265.80,3029.54,3029.54
21-11-2021,21,20:45 - 21:00,5493.10,9716.70,5207.10,5207.10,2892.34,2892.34
21-11-2021,22,21:00 - 21:15,5573.50,9804.50,5151.00,5151.00,2892.16,2892.16
21-11-2021,22,21:15 - 21:30,5470.00,10120.10,5050.60,5050.60,2821.06,2821.06
21-11-2021,22,21:30 - 21:45,5427.20,10657.10,5072.30,5072.30,2695.57,2695.57
21-11-2021,22,21:45 - 22:00,5378.60,11347.30,5033.40,5033.40,2609.60,2609.60
21-11-2021,23,22:00 - 22:15,5775.00,12032.20,4804.70,4804.70,2555.41,2555.41
21-11-2021,23,22:15 - 22:30,5797.90,11708.20,4784.40,4784.40,2609.11,2609.11
21-11-2021,23,22:30 - 22:45,5748.40,12052.20,4857.10,4857.10,2359.22,2359.22
