date,hour,time,purchase bid,sell bid,mcv,fsv,mcp
22-03-2021,6,5:45,11060.8,12221.3,9612.2,9598.2,3398.94
22-03-2021,7,6:00,11594.9,12071.5,10076.2,9971.52,4000.99
22-03-2021,7,6:15,12421.7,12223.1,10693.5,10450.22,4217.23
22-03-2021,7,6:30,12966.9,12956.4,11298,10765.1,4217.18
22-03-2021,7,6:45,13195.9,13284.1,11504.3,10901.1,4099.52
22-03-2021,8,7:00,13365.9,13660.3,11672.5,11081.5,4047.54
22-03-2021,8,7:15,13846.4,13613.5,12027.9,11551.4,4217.35
22-03-2021,8,7:30,13612,13484,11832.3,11606.12,4217.26
22-03-2021,8,7:45,13041.7,13347.7,11428.4,11285.3,4101.14
22-03-2021,9,8:00,12112.6,13402.1,10880.1,10845.6,3398.9
22-03-2021,9,8:15,11664.5,13710.7,10561.5,10527,3279.43
22-03-2021,9,8:30,11052.4,13118.5,10053.3,10018.8,3279.54
22-03-2021,9,8:45,10583.4,12390.5,9554.8,9520.3,3398.65
22-03-2021,10,9:00,10113.2,11712.9,9031.2,8986.4,3469.5
22-03-2021,10,9:15,9987.5,11031.3,8691,8630.3,3651.08
22-03-2021,10,9:30,9792.1,10152.3,8090,8045.2,4047.61
22-03-2021,10,9:45,9646.7,10047.6,7914.2,7860.2,4002.08
22-03-2021,11,10:00,9625,10173.1,7999.1,7969.1,3750.71
22-03-2021,11,10:15,9446,10139.2,7920.5,7890.5,3640.01
22-03-2021,11,10:30,9588.9,10168.4,7907,7877,3700.56
22-03-2021,11,10:45,9723.1,10205.8,7944.4,7914.4,3700.42
22-03-2021,12,11:00,9904.3,10374,8167.6,8137.6,3500.82
22-03-2021,12,11:15,10088.4,10672.4,8345.9,8345.9,3469.67
22-03-2021,12,11:30,9986.4,10808.8,8442.8,8442.8,3469.58
22-03-2021,12,11:45,9907.8,10943.7,8364.2,8364.2,3469.01
22-03-2021,13,12:00,10022.5,11666.6,8509.3,8509.3,3372.7
22-03-2021,13,12:15,10146.9,12116.4,8733.6,8733.6,3374.57
22-03-2021,13,12:30,9640,12178.7,8346.5,8346.5,3286.58
22-03-2021,13,12:45,9464.9,12361.1,8271.5,8271.5,3279.56
22-03-2021,14,13:00,9091.7,13256.3,8013.3,8013.3,3143.03
22-03-2021,14,13:15,9467.7,13964.6,8443.2,8443.2,3085.39
22-03-2021,14,13:30,9632.6,14335.2,8613.1,8613.1,3065.03
22-03-2021,14,13:45,9890.8,14643.1,8953.7,8953.7,2990.02
22-03-2021,15,14:00,9881,14858.4,8954.2,8924.2,3000.15
22-03-2021,15,14:15,10101.8,14953.9,9181,9173.5,2969.66
22-03-2021,15,14:30,10581.3,14843.9,9566.3,9554.8,2950.87
22-03-2021,15,14:45,11145.7,14619.4,9947.6,9940.1,3065.73
22-03-2021,16,15:00,10829.2,14094.2,9510.3,9510.3,3085.91
22-03-2021,16,15:15,11424.5,13945.3,10005.9,10013.7,3170.78
22-03-2021,16,15:30,11546.3,13620.8,10117.8,10117.8,3192.67
22-03-2021,16,15:45,11701.3,13473.4,10272.9,10272.9,3199.65
22-03-2021,17,16:00,11947.6,13265.1,10333.4,10341.4,3199.84
22-03-2021,17,16:15,12416.6,13047.7,10832.6,10847,3469.01
22-03-2021,17,16:30,12900.9,12754.8,11074.8,11082.8,4047.73
22-03-2021,17,16:45,13161.6,12743.5,11288.5,11296.5,4217.28
22-03-2021,18,17:00,11779.4,12962.2,10458.1,10458.1,3428.99
22-03-2021,18,17:15,11556.3,12983.1,10240.8,10243.39,3400.63
22-03-2021,18,17:30,11500.1,12752.3,10179.6,10179.6,3428.95
22-03-2021,18,17:45,11391.2,12813.9,10073.7,10073.7,3428.34
22-03-2021,19,18:00,9405.6,11897.9,8658.2,8658.2,3286.24
22-03-2021,19,18:15,9483.2,11133.6,8666,8676.9,3500.51
22-03-2021,19,18:30,10320,10072,8981.2,8981.2,4529.48
22-03-2021,19,18:45,10578.7,9795.9,9046.2,9046.2,4999.35
22-03-2021,20,19:00,11639.2,9652.4,9561.4,9564.8,6000.09
22-03-2021,20,19:15,11738.6,9480.5,9389.5,9392.9,6999.01
22-03-2021,20,19:30,11343.3,9751.3,9337.3,9337.3,5649.22
22-03-2021,20,19:45,11593.3,9887.6,9546.2,9542.7,5649.57
22-03-2021,21,20:00,11843.9,10201.8,9896.2,9856.9,5750.35
22-03-2021,21,20:15,11655.3,10313,9923.2,9883.9,5000.76
22-03-2021,21,20:30,11430.6,10411.4,9775.4,9773.9,4999.2
22-03-2021,21,20:45,11028.3,10256.2,9560.9,9529.1,4612.06
22-03-2021,22,21:00,10896.8,9957.3,9146.4,9114.6,4500.1
22-03-2021,22,21:15,11241.9,9849.2,9376.1,9376.1,4999.05
22-03-2021,22,21:30,11011.9,9822.2,9274.5,9274.5,4529.71
22-03-2021,22,21:45,10821.7,9844.2,9066.8,9066.8,4217.87
22-03-2021,23,22:00,10595.6,8854.2,8505.23,8504.02,4999.43
22-03-2021,23,22:15,10542.9,8478.9,8390.8,8366.4,5750.09
22-03-2021,23,22:30,10480.4,8413.2,8325.1,8300.7,5750.99
22-03-2021,23,22:45,10385.3,8433.7,8250.4,8240.7,4999.96
22-03-2021,24,23:00,10257.3,8370.5,8126.75,8126.54,4999.8
22-03-2021,24,23:15,9762.5,8464.8,7630.3,7630.3,4217.78
22-03-2021,24,23:30,9641.8,8529,7466.1,7466.1,4217.43
22-03-2021,24,23:45,9655.8,8591,7518.3,7518.3,4217.41
23-03-2021,1,0:00,8895.2,10155.6,7373.4,7373.4,3308.49
23-03-2021,1,0:15,9202.7,10328.4,7672.8,7672.8,3374.91
23-03-2021,1,0:30,9345.3,10675.1,7823.5,7823.5,3307.82
23-03-2021,1,0:45,9520.5,11023.7,8032.3,8032.3,3299.79
